"ID_TRAMO","UTM_IX","UTM_IY","UTM_FX","UTM_FY","UTM_IX_OK","UTM_IY_OK","UTM_FX_OK","UTM_FY_OK"
"8869",430666.91100000,4583232.88700000,430667.25100000,4583245.34600000,430571.91100000,4583027.88700000,430572.25100000,4583040.34600000
"8871",431101.16000000,4582652.56000000,431101.28000000,4582638.09000000,431006.16000000,4582447.56000000,431006.28000000,4582433.09000000
"8872",431284.13000000,4582851.04000000,431263.50000000,4582851.08000000,431189.13000000,4582646.04000000,431168.50000000,4582646.08000000
"8874",431197.77000000,4582746.53000000,431197.53000000,4582731.31000000,431102.77000000,4582541.53000000,431102.53000000,4582526.31000000
"8875",431159.47000000,4582746.49000000,431159.10000000,4582731.74000000,431064.47000000,4582541.49000000,431064.10000000,4582526.74000000
"8876",431283.03000000,4582813.63000000,431263.80000000,4582813.70000000,431188.03000000,4582608.63000000,431168.80000000,4582608.70000000
"8877",431348.10400000,4582897.28000000,431353.60400000,4582902.40500000,431253.10400000,4582692.28000000,431258.60400000,4582697.40500000
"8878",431161.13000000,4582934.66000000,431161.09000000,4582921.63000000,431066.13000000,4582729.66000000,431066.09000000,4582716.63000000
"8879",431015.32900000,4583103.73000000,431027.84900000,4583091.04700000,430920.32900000,4582898.73000000,430932.84900000,4582886.04700000
"8880",430978.38000000,4583159.13000000,430962.75000000,4583159.43000000,430883.38000000,4582954.13000000,430867.75000000,4582954.43000000
"8881",430860.22900000,4583243.23800000,430859.97900000,4583230.07200000,430765.22900000,4583038.23800000,430764.97900000,4583025.07200000
"8882",430898.23000000,4583242.15000000,430897.80000000,4583226.12000000,430803.23000000,4583037.15000000,430802.80000000,4583021.12000000
"8883",431199.04000000,4582921.26000000,431199.19000000,4582934.24000000,431104.04000000,4582716.26000000,431104.19000000,4582729.24000000
"8884",430773.89000000,4583354.29000000,430787.47000000,4583354.16000000,430678.89000000,4583149.29000000,430692.47000000,4583149.16000000
"8885",430390.54000000,4583723.04000000,430390.48000000,4583710.28000000,430295.54000000,4583518.04000000,430295.48000000,4583505.28000000
"8886",430981.75000000,4583121.39000000,430962.79000000,4583121.79000000,430886.75000000,4582916.39000000,430867.79000000,4582916.79000000
"8887",430514.24000000,4583638.75000000,430492.43000000,4583638.95000000,430419.24000000,4583433.75000000,430397.43000000,4583433.95000000
"8888",430603.55000000,4583504.56000000,430590.28000000,4583504.71000000,430508.55000000,4583299.56000000,430495.28000000,4583299.71000000
"8890",430798.57000000,4583309.08000000,430777.17000000,4583309.35000000,430703.57000000,4583104.08000000,430682.17000000,4583104.35000000
"8891",430710.42000000,4583433.91000000,430710.29000000,4583420.78000000,430615.42000000,4583228.91000000,430615.29000000,4583215.78000000
"8892",430322.64000000,4583792.24000000,430309.48000000,4583792.35000000,430227.64000000,4583587.24000000,430214.48000000,4583587.35000000
"8893",430428.76000000,4583722.09000000,430428.64000000,4583709.06000000,430333.76000000,4583517.09000000,430333.64000000,4583504.06000000
"8894",430357.14600000,4582251.32200000,430364.09000000,4582244.31800000,430262.14600000,4582046.32200000,430269.09000000,4582039.31800000
"8895",429946.68000000,4582689.35000000,429946.50000000,4582674.58000000,429851.68000000,4582484.35000000,429851.50000000,4582469.58000000
"8896",429667.51000000,4582972.56000000,429667.42000000,4582962.77000000,429572.51000000,4582767.56000000,429572.42000000,4582757.77000000
"8897",430205.43000000,4582411.86000000,430214.98000000,4582411.71000000,430110.43000000,4582206.86000000,430119.98000000,4582206.71000000
"8898",430043.54000000,4582573.07000000,430044.15000000,4582590.80000000,429948.54000000,4582368.07000000,429949.15000000,4582385.80000000
